time,open,high,low,close,EMA,EMA,EMA,EMA
1438387200,285.2,285.6,277.26,281.53,269.1881745697759,286.89437593435287,288.3691961190642,288.6299752847658
1438473600,281.53,282.62,277.33,282.62,269.6289540494268,286.1280365151596,286.84937475927217,286.2633168565105
1438560000,282.62,285.86,280.27,280.95,270.09291997623296,285.62688844156537,285.9095137016561,285.0488779043404
1438646400,280.95,286.47,280.11,285.51,270.48067283422466,284.9587615213417,284.80739954573255,283.68258526956026
1438732800,285.6,286.25,282.01,282.77,271.02064880443095,285.0503670182929,284.9835329800142,284.3217235130402
1438819200,282.44,282.61,278.95,279.65,271.4284827757013,284.67745744425105,284.41830342889995,283.6944823420268
1438905600,279.37,281.17,277.05,279.94,271.71210839085484,283.9192492379295,283.2964582224777,282.25298822801784
1438992000,280.06,280.16,260.07,262.02,272.01024737689573,283.3679279182253,282.57724528414934,281.5219921520119
1439078400,262.02,268.8,260.97,267.63,271.6534528277209,280.3182239299074,278.00896855433837,275.0213281013412
1439164800,267.6,268.89,263.17,265.15,271.5086866553023,278.50133479706346,275.6958644311521,272.54755206756084
1439251200,265.15,271.99,264.91,271.99,271.28159070332725,276.5940012546258,273.35233900200717,270.0817013783739
1439337600,271.99,272.4,265.79,266.94,271.30689103535127,275.9362867896793,273.04959700156115,270.71780091891594
1439424000,266.81,267.82,262.94,264.67,271.1462877840887,274.6325315340108,271.6630198901031,269.41520061261065
1439510400,264.48,267.98,262.5,266.17,270.90820607751414,273.18216988629496,270.06679324785796,267.77013374174044
1439596800,266.21,267.69,261.77,262.46,270.7404130033172,272.18614561682426,269.2097280816673,267.2500891611603
1439683200,262.45,263.1,255.67,259.2,270.4443268246273,270.79526767156364,267.7075662857412,265.65005944077353
1439769600,259.2,261.57,255.58,257.31,270.0427437237478,269.13880086134026,265.81699600002094,263.50003962718233
1439856000,257.56,258.04,200,221.99,269.59693144789964,267.48468645257736,263.9821080000163,261.5200264181216
1439942400,221.99,238.99,214.91,227.34,267.89668389618896,260.9854455307806,254.6505284444571,248.3433509454144
1440028800,227.46,238.2,227.45,235.56,266.45251661418223,256.19609616924055,248.6081887901333,241.3822339636096
1440115200,235.56,236.99,231.15,232.85,265.34921244939,253.2480824307776,245.7085912812148,239.44148930907306
1440201600,232.85,235.53,222.68,231.15,264.1885262904832,250.33407065495223,242.85112655205597,237.2443262060487
1440288000,231.16,233.25,226.15,229.21,263.0089360658231,247.59491770424478,240.25309842937688,235.21621747069912
1440374400,229.23,229.24,210,211.16,261.8025454920437,244.97135803220982,237.80352100062646,233.22081164713273
1440460800,211.16,229.49,198.02,223.73,259.99388315304213,240.14116402760843,231.8827385560428,225.86720776475516
1440547200,223.73,231.97,220.16,226.81,258.6987444690049,237.79671202366436,230.07101887692218,225.15480517650343
1440633600,226.72,229.99,224,225.8,257.5566464522547,236.2143245917123,229.32634801538393,225.6765367843356
1440720000,225.62,236.18,221.2,231.55,256.41605193610275,234.70084965003912,228.5027151230764,225.65769118955708
1440806400,231.55,233.95,228,230.61,255.5279786526705,234.2507282714621,229.17988954017054,227.62179412637138
1440892800,230.61,233.47,226.59,229.39,254.63805084364654,233.7306242326818,229.4976918645771,228.61786275091427
1440979200,229.4,233,225.23,230.75,253.7366918849449,233.11196362801297,229.47598256133773,228.87857516727618
1441065600,230.76,233.5,226.42,228.22,252.91609574619685,232.77596882401113,229.76131976992934,229.5057167781841
1441152000,228.22,231.43,226.43,229.97,252.0340923266898,232.1251161348667,229.4188042655006,229.0771445187894
1441238400,229.95,230.79,226.48,227.25,251.24537474359374,231.81438525845715,229.53684776205603,229.36809634585958
1441324800,227.24,232.49,227.24,231.39,250.38803993132254,231.16090165010613,229.0264371482658,228.65873089723974
1441411200,231.43,237.24,230.12,236.01,249.71096707663244,231.19934427151955,229.56056222642897,229.58248726482648
1441497600,236.17,244.82,235.54,241.29,249.22736110960986,231.90943794701676,231.02932617611143,231.77832484321766
1441584000,241.26,242.98,239.21,241.31,248.94281249855237,233.24523252601435,233.30280924808667,234.93888322881176
